7zip 26.02-1.1
amd-ucode 1:20260622-1
asusctl 6.3.10-1
azure-cli 2.87.0-1
azure-functions-core-tools-bin 4.12.1-1
bambustudio-appimage 2.8.1-1
baobab 50.0-1.1
base 3-3
base-devel 1-2
bc 1.08.2-1.1
blueman 2.4.6-2.1
bluez 5.87-2.1
bluez-utils 5.87-2.1
bridge-utils 1.7.1-5
brightnessctl 0.5.1-3
btop 1.4.7-1.1
btrfs-progs 7.1-1
cachyos-keyring 20240331-1
cachyos-mirrorlist 27-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cameractrls 0.6.10-2
clang 22.1.8-2
claude-code 2.1.220-1
cnijfilter2 6.81-1
cpio 2.15-3.1
cups 2:2.4.19-1
cups-pk-helper 0.2.7-2.8
dconf-editor 49.0-1.1
dmidecode 3.7-1.3
dnsmasq 2.93-1.1
docker 1:29.6.2-1.1
docker-compose 5.3.1-1.1
docker-sbx 0.35.0-1
dosfstools 4.2-5.1
edk2-shell 202605-1
efibootmgr 18-4.1
erofs-utils 1.9.2-1.1
ethtool 1:7.1-1.1
fastfetch 2.66.0-1.1
ffmpegthumbnailer 2.3.0-1.2
firefox 153.0.1-1
fzf 0.74.1-1.1
gamescope 3.16.25-1
gamescope-session-steam-git r19.1019f9a-1
ghostty 1.3.1-2.1
gimp 3.2.4-2.1
git 2.55.0-1.1
github-cli 2.96.0-1.1
gnome-calculator 50.0-1
gnome-tweaks 49.0-2
greetd 0.10.3-2.1
gscan2pdf 2.13.5-1
gsimplecal 2.5.2-1.1
gst-plugin-pipewire 1:1.6.8-1
gutenprint 5.3.5-1.1
hypridle 0.1.8-1.1
hyprland 0.56.1-2
hyprlock 0.9.6-1.1
hyprpolkitagent 0.1.3-8.1
hyprshot 1.3.0-4
inotify-tools 4.25.9.0-1.1
ipp-usb 0.9.34-1.1
kitty 0.48.1-1.1
less 1:704-1.1
lib32-mangohud 0.8.4-1
libpulse 17.0+r98+gb096704c0-1.2
libva-utils 2.24.0-1.1
libvirt 1:12.5.0-1.1
linux 7.1.5.arch1-2
linux-cachyos 7.1.5-1
linux-cachyos-headers 7.1.5-1
linux-firmware 1:20260622-1
linux-headers 7.1.5.arch1-2
lua-language-server 3.18.2-1.1
lutris 0.5.22-2
mangohud 0.8.4-1.1
mesa-demos 9.0.0-7.1
meson 1.11.2-1
microsoft-azure-vpn-client-bin 3.0.0-4
mkcert 1.4.4-3.1
mokutil 0.7.2-2.1
mpv 1:0.41.0-3.1
neovim 0.12.4-1.1
net-tools 2.10-3.1
network-manager-applet 1.36.0-2.1
networkmanager 1.58.0-1
networkmanager-dmenu-git r245.e84ea9b-1
nodejs 26.5.0-1
nodejs-azurite 3.36.0-1
npm 12.0.1-1
nwg-look 1.1.1-3.1
opencode-bin 1.18.9-1
openjdk11-src 11.0.32.u9-1
openssh 10.4p1-3.1
pavucontrol 1:6.2-1.1
pdftk 3.3.3-4
peazip 11.2.0-2
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
postman-bin 12.20.4-1
power-profiles-daemon 0.30-3
python-pip 26.1.2-1
python-virtualenv 21.7.0-1
qemu-full 11.0.2-4
qmk 1.2.0-2
qt5-wayland 5.15.19+kde+r55-1.1
qt5ct 1.9-2.1
qt6ct 0.11-7.1
rider 1:2026.2-1
ripgrep 15.2.0-1
rocm-smi-lib 7.2.0-2.1
rog-control-center 6.3.10-1
roomeqwizard-beta 5.40.beta.130-1
ryzen_smu-dkms-git 189.1be4fb1-1
sane-airscan 0.99.37-1.1
scangearmp2 4.80-1
scx-scheds 1.1.2-1
scx-tools 1.1.2-1.1
simple-scan 50.0-1.2
sof-firmware 2025.12.2-1
steam 1.0.0.87-1
stow 2.4.1-1
sudo 1.9.17.p2-6.1
swappy 1.8.0-1.1
swaync 0.12.6-1.1
swtpm 0.10.1-2.1
system-config-printer 1.5.18-6
tcpdump 4.99.6-1.1
thunar 4.20.9-1.1
tidal-hifi-bin 8.0.0-1
tmux 3.7_b-1.1
ttf-adwaitamono-nerd 3.4.0-2
ttf-jetbrains-mono-nerd 3.4.0-2
tumbler 4.20.1-1.1
udiskie 2.6.2-1
udisks2 2.11.1-2.1
ungoogled-chromium-bin 150.0.7871.186-1
unzip 6.0-23.1
via-bin 3.0.0-0
virt-manager 5.1.0-4
visual-studio-code-bin 1.130.0-1
vlc 3.0.23_2-9.1
vulkan-radeon 3:26.1.5-1
vulkan-tools 1.4.350.1-1.1
waybar-git 0.15.0.r951.gd3fb8a6-1
wev 1.1.0-1.1
wget 1.25.0-6
wifiman-desktop 1.2.8-3
wireplumber 0.5.15-1.1
wl-clip-persist 0.5.0-2.1
wofi 1.5.3-1.1
wpa_supplicant 2:2.11-5.1
wvkbd 0.19.4-1
xdg-desktop-portal-hyprland 1.4.0-1.1
xwaylandvideobridge 0.4.0-3
yay 13.0.1-1
yazi 26.5.6-4.1
zram-generator 1.2.1-1.1
zsh 5.9.2-1.1
